ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender
krd_002001_grammar,,Sinabigishije kuvuga gurtyo,Je ne t'ai pas appris à parler comme ça,I didn’t teach you to speak like that,grammar,,,,,,
krd_002002_proverbs,,Sinabíkoze yakóze umugabo mw'īrúgu.,"Plus le déni est fort, plus la culpabilité est profonde.","The louder the denial, the deeper the guilt.",proverbs,,,,,,
krd_002003_proverbs,,Sinakunze kino gitabo.,Je n'ai pas aimé ce livre.,I didn't like this book.,proverbs,,,,,,
krd_002004_proverbs,,Sinakunze kino gitabu.,Je n'ai pas aimé ce livre.,I didn't like this book.,proverbs,,,,,,
krd_002005_action-verbs,,Sinatahuye neza.,Je n'ai pas bien compris.,I didn't quite understand.,action-verbs,,,,,,
krd_002006_grammar,,Sindanamuzi,je ne le connais pas du tout,I don’t know him at all,grammar,,,,,,
krd_002007_grammar,,Sindibube ndima,je ne vais pas biner,I am not going to hoe,grammar,,,,,,
krd_002008_grammar,,Sinigeze kugenda i Bururi,Je ne suis encore jamais allé à Bururi,I have never yet gone to Bururi,grammar,,,,,,
krd_002009_proverbs,,Sinkunda epinari.,Je n'aime pas les épinards.,I don't like spinach.,proverbs,,,,,,
krd_002010_action-verbs,,Sinshobora,Je ne peux pas.,I can't.,action-verbs,,,,,,
krd_002011_grammar,,"Sinshobora kuguhemba ubu, ariko mw iyinga riza nzoba mfise amafaranga akwiye","Je ne peux pas te payer maintenant, mais la semaine prochaine j'aurai assez d'argent","I can’t pay you now, but next week I will have enough money",grammar,,,,,,
krd_002012_jokes,,Sinshobóra kwîyumvīsha Ingéne ibīntu vyöse vyàádūze ibicîro aríko imibú ikaguma itúrya ku būntu.,"Je ne comprends pas pourquoi les prix de tout explosent, alors que les moustiques continuent de nous dévorer gratuitement","I can't comprehend why the costs of everything are soaring, yet mosquitoes persist in feasting on us without charge.",jokes,,,,,,
krd_002013_proverbs,,Sinywa ibiboreza.,Je ne bois pas d'alcool.,I don't drink alcohol.,proverbs,,,,,,
krd_002014_proverbs,,Sinywa inzoga.,Je ne bois pas d'alcool.,I don't drink alcohol.,proverbs,,,,,,
krd_002015_grammar,,Sinzi ivyabaye,Je ne sais pas ce qui s'est passé.,I don’t know what happened.,grammar,,,,,,
krd_002016_grammar,,Sinzi ko azokira,Je ne sais pas s'il ira mieux,I don’t know if he will get well,grammar,,,,,,
krd_002017_grammar,,Sinzoba ndiko ndakora,je ne serai pas,I will not be,grammar,,,,,,
krd_002018_grammar,,Sinzokwigera mbesha,Je ne mentirai jamais,I shall never lie,grammar,,,,,,
