ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender
krd_002501_proverbs,,Usaba Imâna y'úwŭndi ikaguha amahere.,Ne demandez pas à Dieu ce qui dépasse votre destin.,Do not ask God for what is beyond your destiny.,proverbs,,,,,,
krd_002502_proverbs,,Usaba inēra ukaba inēra.,Celui qui cherche de l'aide auprès d'une mauvaise personne hérite de ses manières.,He who seeks help from a bad person inherits their ways.,proverbs,,,,,,
krd_002503_proverbs,,Usaba umwîzá mugasa.,Celui qui s'associe aux bons devient lui-même bon.,He who associates with the good becomes good himself.,proverbs,,,,,,
krd_002504_proverbs,,Useka umubânyi ukavyūka músa.,Ce que tu moques aujourd'hui pourrait être ton propre reflet demain.,What you mock today may be your own reflection tomorrow.,proverbs,,,,,,
krd_002505_jokes,,"Ushâka kumenya urugero rwāwe rwó kwìíhāngāna, uratwāra Umwâna wāwe w'îmyâka itatu mu bugeni.","Si tu veux évaluer ton niveau de gentillesse, amène ton enfant de 3 ans à un mariage. ","If you want to gauge your kindness, bring your 3-year-old to a wedding. ",jokes,,,,,,
krd_002506_jokes,,"Ushīma kó ibīntu vyàázīmvye,..Kèéra twâgīye kuramutsa bā mâmá bàácu, bàárakubwîra nk'încúro icúmi ngo ""Ingo ufūngúre "" ukaguma wîyankīsha ugatīnda ukêmera,...","Pour comprendre à quel point les prix ont grimpé, imaginez ceci : Autrefois, quand nous rendions visite à nos tantes, elles nous répétaient mille fois de venir manger.","To grasp the extent of how prices have soared, consider this: Back in the day, when we visited our aunties, they'd insist a thousand times for us to come and eat. ",jokes,,,,,,
krd_002507_proverbs,,Uta agatōngo ataco kakugíze kagatuma ku kăndi ngo urāmpōra.,Un traitement injuste peut pousser quelqu'un à chercher des alliés pour se venger.,Unjust treatment can lead someone to seek allies for vengeance.,proverbs,,,,,,
krd_002508_proverbs,,Uta akarānga ukaba utâye ibānga.,"Perdre sa culture, c'est perdre son identité.",Losing culture means losing identity.,proverbs,,,,,,
krd_002509_grammar,,Utabikora uzohanwa,"Si vous ne le faites pas, vous serez puni",If you do not do it you will be punished,grammar,,,,,,
krd_002510_grammar,,"Utanditse neza, sinosoma ibikaratasi vyawe","Si tu n'as pas bien écrit, je ne lirai pas tes papiers","If you haven’t written well, I won’t read your papers",grammar,,,,,,
